sid,gid,gname,sname,fname,pinyin,abbr,tid,tname,pid,pname,nickname,company,join_day,height,birth_day,star_sign_12,star_sign_48,birth_place,speciality,hobby,experience,catch_phrase,weibo_uid,weibo_verifier,blood_type,tieba_kw,status
10001,10,SNH,陈观慧,陈 观慧,Chen GuanHui,CGH,101,SII,1001,SNH48 一期生,小艾,上海丝芭文化传媒集团有限公司,2012-10-14,161,08.28,处女座,系统化处女座，系统化的一周，8.26-9.2,中国 广东 ,唱歌、跳舞、画画,爵士鼓、跳舞,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第十名<br>2015.07.25 SNH48第二届总决选第二十二名<br>2016.07.30 SNH48第三届总决选第四十七名<br>2017.07.29 SNH48 GROUP第四届总决选第六十一名,我对你“艾艾艾”不完。。。。,3050708243,655ac839,A,陈观慧,99
10002,10,SNH,陈思,陈 思,Chen Si,CS,101,SII,1001,SNH48 一期生,教练,上海丝芭文化传媒集团有限公司,2012-10-14,163,09.14,处女座,真我处女座，真我的一周，9.11-9.18,中国 湖南 ,双节棍、散打、配音,看动漫、做美食、和朋友一起逛街,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第九名<br>2015.07.25 SNH48第二届总决选第二十四名<br>2016.07.30 SNH48第三届总决选第三十八名,教练教练甜过初恋，初恋初恋不如教练,3050742117,655ac839,O,陈思,99
10003,10,SNH,戴萌,戴 萌,Dai Meng,DM,101,SII,1001,SNH48 一期生,呆萌,上海丝芭文化传媒集团有限公司,2012-10-14,169,02.08,水瓶座,接纳水瓶座，接纳的一周，2.8-2.15,中国 上海 ,MC、游泳,看动漫、美甲、逛街,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第十三名<br>2015.07.25 SNH48第二届总决选第十五名<br>2015.09.13 SNH48TeamS队（TeamSII）队长任命<br>2015.10.31 SNH48第一届风尚大赏第六名<br>2016.07.30 SNH48第三届总决选第十二名<br>2016.11.05 SNH48第二届风尚大赏第三名<br>2017.04.07 成为小组合7SENSES成员<br>2017.07.29 SNH48 GROUP第四届总决选第十一名<br>2017.11.18 SNH48 GROUP第三届风尚大赏第一名<br>2018.02.03 新重组SNH48TeamS队（TeamSII）队长任命<br>2018.07.28 SNH48 GROUP第五届总决选第八名,今天开始kirakira从今以后pika,3050709151,655ac839,O,戴萌,99
10004,10,SNH,蒋芸,蒋 芸,Jiang Yun,JY,101,SII,1002,SNH48 二期生,未来,上海丝芭文化传媒集团有限公司,2013-08-18,169,03.27,白羊座,孩子气白羊座，小孩的一周，3.25-4.2,中国 江苏 ,发呆、吃不胖,唱歌、剪辑、坐过山车,2013.08.18 加入SNH48二期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2015.07.25 SNH48第二届总决选第二十一名<br>2017.07.29 SNH48 GROUP第四届总决选第四十四名<br>2018.07.28 SNH48 GROUP第五届总决选第六十二名,每天都要多芸转晴,3675573934,7a3b937f,B,snh48,99
10005,10,SNH,孔肖吟,孔 肖吟,Kong XiaoYin,KXY,101,SII,1001,SNH48 一期生,消音姐,上海丝芭文化传媒集团有限公司,2012-10-14,164,04.11,白羊座,先锋白羊座，先锋的一周，4.11-4.18,中国 辽宁 ,唱歌、跳舞、平面,逛街、唱歌、尝试新鲜事物,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第十五名<br>2015.07.25 SNH48第二届总决选第十六名<br>2016.07.30 SNH48第三届总决选第二十五名<br>2017.04.07 成为小组合7SENSES成员<br>2017.07.29 SNH48 GROUP第四届总决选第十二名<br>2018.07.28 SNH48 GROUP第五届总决选第十三名,大家好，我是孔肖吟，粉丝，真迷人,3058127927,9ec6eb16,AB,孔肖吟,99
10153,10,SNH,吕一,吕 一,Lv Yi,LY,101,SII,1007,SNH48 七期生,番茄、口口一、吕二,上海丝芭文化传媒集团有限公司,2016-09-15,164,06.27,巨蟹座,同理心巨蟹座，同理心的一周，6.25-7.2,中国 重庆 ,舞蹈、劈叉跳、颜艺、反射弧特长,模仿、自言自语、观察人类、wota艺,2016.09.15 加入SNH48七期生<br>2016.09.15 加入SNH48TeamS队（TeamSII）<br>2017.07.29 SNH48 GROUP第四届总决选第三十六名<br>2018.02.02 成为小组合BLUEV成员<br>2018.02.03 兼任 TeamX队（TeamX）,想成为你心中女一号，大家好我是SNH48 teams2的吕一，大家可以叫我番茄或者口口一,6021143413,b3dc3a7a,A,snh48,99
10006,10,SNH,李宇琪,李 宇琪,Li YuQi,LYQ,101,SII,1001,SNH48 一期生,毛毛,上海丝芭文化传媒集团有限公司,2012-10-14,166,02.26,双鱼座,心灵双鱼座，心灵的一周，2.23-3.2,中国 陕西 ,街舞、桌游、学动物叫,吉他、动漫、看书、破案,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第十一名<br>2015.07.25 SNH48第二届总决选第七名<br>2016.07.30 SNH48第三届总决选第二十名<br>2017.07.29 SNH48 GROUP第四届总决选第十六名<br>2017.11.18 SNH48 GROUP第三届风尚大赏第四名<br>2018.02.02 成为小组合BLUEV成员<br>2018.02.03 兼任 TeamFt队（TeamFt）<br>2018.07.28 SNH48 GROUP第五届总决选第四十名,我是snh48，termS2的毛毛李宇琪,3050792913,655ac839,O,李宇琪,99
10125,10,SNH,刘增艳,刘 增艳,Liu ZengYan,LZY,101,SII,1005,SNH48 五期生,增锅、增增,上海丝芭文化传媒集团有限公司,2015-07-25,157,08.31,处女座,系统化处女座，系统化的一周，8.26-9.2,中国 四川 ,做咖啡、合气道、逗猫、一本正经看恐怖片、日翻歌曲,ACG、合气道、V家曲、LOL、电吉他、恐怖游戏实况、收拾房间,2015.07.25 加入SNH48五期生<br>2015.12.04 加入SNH48TeamXII队（TeamXII）<br>2016.09.15 SNH48TeamXII队（TeamXII）副队长任命<br>2017.07.29 SNH48 GROUP第四届总决选第六十三名<br>2018.02.03 加入SNH48TeamS队（TeamSII）<br>2018.07.28 SNH48 GROUP第五届总决选第三十名,增锅用蒸锅，温暖你心窝，是谁在唱歌，萌萌的增锅。,5681431767,b4a006b3,B,snh48,99
10007,10,SNH,莫寒,莫 寒,Mo Han,MH,101,SII,1001,SNH48 一期生,momo,上海丝芭文化传媒集团有限公司,2012-10-14,163,01.07,摩羯座,决心摩羯座，决心的一周，1.3-1.9,中国 贵州 ,跳舞、颜艺,美食、cosplay、看动漫、玩游戏,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII），S队队长<br>2014.07.26 SNH48第一届总决选第七名<br>2015.07.25 SNH48第二届总决选第十三名<br>2015.09.13 SNH48TeamS队（TeamSII）副队长任命<br>2016.07.30 SNH48第三届总决选第六名<br>2017.07.29 SNH48 GROUP第四届总决选第八名<br>2018.02.02 成为小组合BLUEV成员<br>2018.02.03 新重组SNH48TeamS队（TeamSII）副队长任命<br>2018.07.28 SNH48 GROUP第五届总决选第五名,蘑菇少女的日常打卡momo哒,3053424305,ce712180,O,莫寒,99
10008,10,SNH,钱蓓婷,钱 蓓婷,Qian BeiTing,QBT,101,SII,1001,SNH48 一期生,钱少,上海丝芭文化传媒集团有限公司,2012-10-14,163,05.07,金牛座,老师金牛座，老师的一周，5.3-5.10,中国 上海 ,模仿,逛街、旅游、赚钱,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2015.07.25 SNH48第二届总决选第二十六名<br>2016.07.30 SNH48第三届总决选第二十八名<br>2017.07.29 SNH48 GROUP第四届总决选第二十六名<br>2017.11.18 SNH48 GROUP第三届风尚大赏第六名<br>2018.07.28 SNH48 GROUP第五届总决选第九名,水里撒的钞票,3055272517,ce712180,O,snh48,99
10009,10,SNH,邱欣怡,邱 欣怡,Qiu XinYi,QXY,101,SII,1001,SNH48 一期生,湾湾,上海丝芭文化传媒集团有限公司,2012-10-14,164,01.11,摩羯座,支配摩羯座，支配的一周，1.10-1.16,中国 台湾 ,跳舞、平面,看电影、跳舞、唱歌,2012.10.14 加入SNH48一期生<br>2013.04.17 一期生审查通过认可为SNH48正式一期生<br>2013.11.11 加入SNH48TeamS队（TeamSII）<br>2014.07.26 SNH48第一届总决选第二名<br>2015.07.25 SNH48第二届总决选第十四名<br>2015.10.31 SNH48第一届风尚大赏第七名<br>2016.07.30 SNH48第三届总决选第十名,湾湾没想到，节操不见了。,3062769307,9315d80d,A,邱欣怡,99
